"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BrookeWVTM13: I know this will not surprise you, but this year's flu vaccine was not very effective at preventing a particular strain o…",FALSE,0,NA,2018-03-10 03:59:04,FALSE,NA,"972320911616593921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrookeSmithWeav",1,TRUE,FALSE,NA,NA
"2","5 major developments this flu season https://t.co/4PB7IcZrt2 #health #flu vaccines",FALSE,0,NA,2018-03-10 03:49:18,FALSE,NA,"972318450399014914",NA,"<a href=""http://www.good-medical.com/"" rel=""nofollow"">goodmedical</a>","GOOD_MEDICAL_",0,FALSE,FALSE,NA,NA
"3","RT @LotusOak: #STUDY in CID: #Flu Shot Induces 4.4-Fold Increase in Non-Flu Acute Respiratory Infections

https://t.co/ArZpuVNsYA https://t…",FALSE,0,NA,2018-03-10 03:47:37,FALSE,NA,"972318027642560512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LotusOak",37,TRUE,FALSE,NA,NA
"4","RT @whizkid7: How to Avoid the Flu &amp; Colds<U+25BA>https://t.co/Xb7Xcdocvd<U+25C4>See video by Dr. Greger MD to show that eating more fruits &amp; vegetables…",FALSE,0,NA,2018-03-10 03:45:23,FALSE,NA,"972317466033606656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Afobos",294,TRUE,FALSE,NA,NA
"5","RT @LotusOak: #STUDY in CID: #Flu Shot Induces 4.4-Fold Increase in Non-Flu Acute Respiratory Infections

https://t.co/ArZpuVNsYA https://t…",FALSE,0,NA,2018-03-10 03:36:19,FALSE,NA,"972315184600580098",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LLLwry",37,TRUE,FALSE,NA,NA
"6","@MegsWilliams25 hey buddy how’s vomiting going ? #flu",FALSE,3,"MegsWilliams25",2018-03-10 03:34:54,FALSE,NA,"972314826650390529","1419126536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamiRichardss",1,FALSE,FALSE,NA,NA
"7","RT @LotusOak: #STUDY: #Flu #Vaccine Associated w/ Spontaneous Abortion in #Pregnant Women

https://t.co/94Qe2nKIbR
#VaccineInjury https://t…",FALSE,0,NA,2018-03-10 03:31:49,FALSE,NA,"972314053317185536",NA,"<a href=""http://facebook.com/burnayeva"" rel=""nofollow"">LotusOak</a>","LotusOak",6,TRUE,FALSE,NA,NA
"8","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-10 03:27:46,FALSE,NA,"972313035095334912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SueLeugers",29,TRUE,FALSE,NA,NA
"9","You can still catch the flu! Be sure to get vaccinated and take precautionary measures like hand washing!… https://t.co/9hVnC38Ne0",FALSE,1,NA,2018-03-10 03:20:49,TRUE,NA,"972311282341859328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonWarden3",0,FALSE,FALSE,NA,NA
"10","RT @LotusOak: #STUDY in CID: #Flu Shot Induces 4.4-Fold Increase in Non-Flu Acute Respiratory Infections

https://t.co/ArZpuVNsYA https://t…",FALSE,0,NA,2018-03-10 03:17:02,FALSE,NA,"972310333779009536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vsarrulmozhy",37,TRUE,FALSE,NA,NA
"11","RT @TheNYevening: Top Doctor: New #FLU Epidemic Could Kill 33 Million People In 200 days https://t.co/cpGK6fLQVw https://t.co/m2vuOZQcQu",FALSE,0,NA,2018-03-10 03:14:38,FALSE,NA,"972309728452890625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheNYevening",8,TRUE,FALSE,NA,NA
"12","""The #flu has been spreading quickly in California — and it’s not over yet. A late-season strain is going... https://t.co/nvllKuodjw",FALSE,4,NA,2018-03-10 03:13:33,FALSE,NA,"972309454212489218",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DrPanMD",0,FALSE,FALSE,NA,NA
"13","For the latest on #flu activity in #Oregon, check out our Flu Bites: https://t.co/flmLRA51oy https://t.co/yjOHOcUq1v",FALSE,0,NA,2018-03-10 03:12:00,FALSE,NA,"972309065970827264",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","OHAOregon",0,FALSE,FALSE,NA,NA
"14","RT @whartonknows: Fri. @whartonknows on @BizRadio111 (10:30A ET):

Why is the #flu so bad this year? @UPenn research shows why &amp; impact of…",FALSE,0,NA,2018-03-10 03:09:55,FALSE,NA,"972308541943042049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Camilo_Mero",4,TRUE,FALSE,NA,NA
"15","RT @JWatch: The #FDA warns about fraudulent #Flu remedies advertised to patients: https://t.co/iKCB8SScu6 https://t.co/4r5uuQ8ZNQ",FALSE,0,NA,2018-03-10 03:07:58,FALSE,NA,"972308049787416576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjohnnybs",2,TRUE,FALSE,NA,NA
"16","RT @TheMtnsVoice: WHY THIS YEAR'S #FLU #VACCINE COULD MAKE YOU SICKER
""Original Antigenic Sin"" is a well researched vaccine concept which r…",FALSE,0,NA,2018-03-10 03:07:51,FALSE,NA,"972308022516105217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","emgfind",28,TRUE,FALSE,NA,NA
